tick_production_E'hydro_energy',tick_production_E'nuclear_energy',tick_production_E'solar_energy',tick_production_E'wind_energy',tick_total_consumption_E'any_energy',tick_total_consumption_E'hydro_energy',tick_total_consumption_E'nuclear_energy',tick_total_consumption_E'solar_energy',tick_total_consumption_E'wind_energy',tick_pop_consumption_E'any_energy',tick_resources_used_E'L water',tick_resources_used_E'm² land',tick_emissions_E'hydro_energy',tick_emissions_E'nuclear_energy',tick_emissions_E'solar_energy',tick_emissions_E'wind_energy',tick_penurie_E'hydro_energy',tick_penurie_E'nuclear_energy',tick_penurie_E'solar_energy',tick_penurie_E'wind_energy'
nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
8165005.89221905,21773349.045917463,13608343.153698416,10886674.522958731,328544940.13742155,0.0,0.0,0.0,0.0,1924080.3579624644,122475088.38328578,3016697510.311865,1143100824.9106672,1197534197.5254605,27216686.307396833,152413443.32142225,0.0,0.0,0.0,0.0
8132369.069701588,21686317.519204233,13553948.449502645,10843158.759602116,352117024.3974261,0.0,0.0,0.0,0.0,1828682.6720046045,121985536.04552384,3004639292.2857466,1138531669.7582223,1192747463.556233,27107896.89900529,151804222.63442963,0.0,0.0,0.0,0.0
8147238.335737125,21725968.895299,13578730.559561873,10862984.4476495,375732207.97927284,0.0,0.0,0.0,0.0,1860887.2718467398,122208575.03605689,3010132990.443676,1140613367.0031977,1194928289.2414448,27157461.119123746,152081782.267093,0.0,0.0,0.0,0.0
8165757.771628176,21775354.057675134,13609596.286046961,10887677.028837567,399401071.08544147,0.0,0.0,0.0,0.0,1922398.6561686273,122486366.57442267,3016975304.69089,1143206088.0279448,1197644473.1721325,27219192.572093923,152427478.40372595,0.0,0.0,0.0,0.0
8116108.855492951,21642956.9479812,13526848.092488253,10821478.4739906,422926024.2897689,0.0,0.0,0.0,0.0,1790134.865527396,121741632.83239429,2998631685.1427956,1136255239.7690132,1190362632.138966,27053696.184976507,151500698.63586843,0.0,0.0,0.0,0.0
8167131.840644125,21779018.241717666,13611886.401073543,10889509.120858833,446598870.2046794,0.0,0.0,0.0,0.0,1924450.9337105085,122506977.60966189,3017482977.389982,1143398457.6901777,1197846003.2944717,27223772.802147087,152453127.69202366,0.0,0.0,0.0,0.0
8145029.157848676,21720077.754263133,13575048.59641446,10860038.877131566,470207650.3723568,0.0,0.0,0.0,0.0,1858992.976477321,122175437.36773016,3009316772.853157,1140304082.0988147,1194604276.4844723,27150097.19282892,152040544.27984193,0.0,0.0,0.0,0.0
8247637.823113349,21993700.861635596,13746063.03852225,10996850.430817798,494113846.9610911,0.0,0.0,0.0,0.0,2154738.7455343474,123714567.34670027,3047227254.379612,1154669295.235869,1209653547.389958,27492126.0770445,153955906.03144917,0.0,0.0,0.0,0.0
8168752.580129031,21783340.213677414,13614587.633548385,10891670.106838707,517791390.67161,0.0,0.0,0.0,0.0,1915766.5921189324,122531288.70193549,3018081786.6050057,1143625361.2180645,1198083711.7522578,27229175.26709677,152483381.4957419,0.0,0.0,0.0,0.0
8146336.811837868,21723564.831567645,13577228.01972978,10861782.415783823,541403961.1407053,0.0,0.0,0.0,0.0,1858346.7686952706,122195052.17756803,3009799907.4136972,1140487153.6573017,1194796065.7362206,27154456.03945956,152064953.82097352,0.0,0.0,0.0,0.0
