tick_production_viande,tick_production_legume,tick_production_coton,tick_consommation_viande,tick_consommation_legume,tick_consommation_coton,tick_emission_viande,tick_emission_legume,tick_emission_coton,tick_emission_total,tick_surface_used_viande,tick_surface_used_legume,tick_surface_used_coton,tick_surface_manque_viande,tick_surface_manque_legume,tick_surface_manque_coton,tick_penurie_viande,tick_penurie_legume,tick_penurie_coton,tick_stock_viande,tick_stock_legume,tick_stock_coton
18382.350000000002,104869.79999999999,0.0,18382.350000000002,104869.79999999999,0.0,152389.6815,27266.147999999997,0.0,226369.09749999997,5404260.225000001,69214.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18382.350000000002,104869.79999999999,0.0,18382.350000000002,104869.79999999999,0.0,152389.6815,27266.147999999997,0.0,226369.09749999997,5404260.225000001,69214.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18382.350000000002,104869.79999999999,0.0,18382.350000000002,104869.79999999999,0.0,152389.6815,27266.147999999997,0.0,226369.09749999997,5404260.225000001,69214.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18382.350000000002,104869.79999999999,0.0,18382.350000000002,104869.79999999999,0.0,152389.6815,27266.147999999997,0.0,226369.09749999997,5404260.225000001,69214.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18382.350000000002,104869.79999999999,0.0,18382.350000000002,104869.79999999999,0.0,152389.6815,27266.147999999997,0.0,226369.09749999997,5404260.225000001,69214.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18382.350000000002,104869.79999999999,0.0,18382.350000000002,104869.79999999999,0.0,152389.6815,27266.147999999997,0.0,226369.09749999997,5404260.225000001,69214.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18382.350000000002,104869.79999999999,0.0,18382.350000000002,104869.79999999999,0.0,152389.6815,27266.147999999997,0.0,226369.09749999997,5404260.225000001,69214.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18382.350000000002,104869.79999999999,0.0,18382.350000000002,104869.79999999999,0.0,152389.6815,27266.147999999997,0.0,226369.09749999997,5404260.225000001,69214.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18382.350000000002,104869.79999999999,0.0,18382.350000000002,104869.79999999999,0.0,152389.6815,27266.147999999997,0.0,226369.09749999997,5404260.225000001,69214.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18382.350000000002,104869.79999999999,0.0,18382.350000000002,104869.79999999999,0.0,152389.6815,27266.147999999997,0.0,226369.09749999997,5404260.225000001,69214.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18382.350000000002,104869.79999999999,27000.0,18382.350000000002,104869.79999999999,0.0,152389.6815,27266.147999999997,9450.0,235819.09749999997,5404260.225000001,69214.068,89910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18426.27,105120.36000000002,0.0,18404.31,104995.08,0.0,152753.77829999998,27331.293600000005,0.0,226909.9495,5417172.345,69379.43760000002,0.0,0.0,0.0,0.0,21.959999999999127,125.28000000001339,0.0,0.0,0.0,0.0
18404.31,104995.08,0.0,18404.31,104995.08,0.0,152571.7299,27298.720800000003,0.0,226639.5235,5410716.285,69296.7528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18404.31,104995.08,0.0,18404.31,104995.08,0.0,152571.7299,27298.720800000003,0.0,226639.5235,5410716.285,69296.7528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18404.31,104995.08,0.0,18404.31,104995.08,0.0,152571.7299,27298.720800000003,0.0,226639.5235,5410716.285,69296.7528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18404.31,104995.08,0.0,18404.31,104995.08,0.0,152571.7299,27298.720800000003,0.0,226639.5235,5410716.285,69296.7528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18404.31,104995.08,0.0,18404.31,104995.08,0.0,152571.7299,27298.720800000003,0.0,226639.5235,5410716.285,69296.7528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18404.31,104995.08,0.0,18404.31,104995.08,0.0,152571.7299,27298.720800000003,0.0,226639.5235,5410716.285,69296.7528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18404.31,104995.08,0.0,18404.31,104995.08,0.0,152571.7299,27298.720800000003,0.0,226639.5235,5410716.285,69296.7528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18404.31,104995.08,0.0,18404.31,104995.08,0.0,152571.7299,27298.720800000003,0.0,226639.5235,5410716.285,69296.7528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18404.31,104995.08,0.0,18404.31,104995.08,0.0,152571.7299,27298.720800000003,0.0,226639.5235,5410716.285,69296.7528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18404.31,104995.08,0.0,18404.31,104995.08,0.0,152571.7299,27298.720800000003,0.0,226639.5235,5410716.285,69296.7528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18404.31,104995.08,0.0,18404.31,104995.08,0.0,152571.7299,27298.720800000003,0.0,226639.5235,5410716.285,69296.7528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18404.31,104995.08,0.0,18404.31,104995.08,0.0,152571.7299,27298.720800000003,0.0,226639.5235,5410716.285,69296.7528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18444.570000000003,105224.76,0.0,18424.440000000002,105109.92,0.0,152905.4853,27358.4376,0.0,227135.3045,5422552.395000001,69448.3416,0.0,0.0,0.0,0.0,20.13000000000102,114.83999999999651,0.0,0.0,0.0,0.0
18424.440000000002,105109.92,0.0,18424.440000000002,105109.92,0.0,152738.60760000002,27328.5792,0.0,226887.41400000002,5416634.340000001,69372.5472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18424.440000000002,105109.92,0.0,18424.440000000002,105109.92,0.0,152738.60760000002,27328.5792,0.0,226887.41400000002,5416634.340000001,69372.5472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18424.440000000002,105109.92,0.0,18424.440000000002,105109.92,0.0,152738.60760000002,27328.5792,0.0,226887.41400000002,5416634.340000001,69372.5472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18424.440000000002,105109.92,0.0,18424.440000000002,105109.92,0.0,152738.60760000002,27328.5792,0.0,226887.41400000002,5416634.340000001,69372.5472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18424.440000000002,105109.92,0.0,18424.440000000002,105109.92,0.0,152738.60760000002,27328.5792,0.0,226887.41400000002,5416634.340000001,69372.5472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18424.440000000002,105109.92,0.0,18424.440000000002,105109.92,0.0,152738.60760000002,27328.5792,0.0,226887.41400000002,5416634.340000001,69372.5472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18424.440000000002,105109.92,0.0,18424.440000000002,105109.92,0.0,152738.60760000002,27328.5792,0.0,226887.41400000002,5416634.340000001,69372.5472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18424.440000000002,105109.92,0.0,18424.440000000002,105109.92,0.0,152738.60760000002,27328.5792,0.0,226887.41400000002,5416634.340000001,69372.5472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18424.440000000002,105109.92,0.0,18424.440000000002,105109.92,0.0,152738.60760000002,27328.5792,0.0,226887.41400000002,5416634.340000001,69372.5472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18424.440000000002,105109.92,0.0,18424.440000000002,105109.92,0.0,152738.60760000002,27328.5792,0.0,226887.41400000002,5416634.340000001,69372.5472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18424.440000000002,105109.92,0.0,18424.440000000002,105109.92,0.0,152738.60760000002,27328.5792,0.0,226887.41400000002,5416634.340000001,69372.5472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18424.440000000002,105109.92,0.0,18424.440000000002,105109.92,0.0,152738.60760000002,27328.5792,0.0,226887.41400000002,5416634.340000001,69372.5472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18446.4,105235.2,0.0,18435.420000000002,105172.56,0.0,152920.656,27361.152000000002,0.0,227157.84,5423090.4,69455.232,0.0,0.0,0.0,0.0,10.979999999999563,62.63999999999942,0.0,0.0,0.0,0.0
18435.420000000002,105172.56,0.0,18435.420000000002,105172.56,0.0,152829.6318,27344.8656,0.0,227022.627,5419862.370000001,69413.8896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18435.420000000002,105172.56,0.0,18435.420000000002,105172.56,0.0,152829.6318,27344.8656,0.0,227022.627,5419862.370000001,69413.8896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18435.420000000002,105172.56,0.0,18435.420000000002,105172.56,0.0,152829.6318,27344.8656,0.0,227022.627,5419862.370000001,69413.8896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18435.420000000002,105172.56,0.0,18435.420000000002,105172.56,0.0,152829.6318,27344.8656,0.0,227022.627,5419862.370000001,69413.8896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18435.420000000002,105172.56,0.0,18435.420000000002,105172.56,0.0,152829.6318,27344.8656,0.0,227022.627,5419862.370000001,69413.8896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18435.420000000002,105172.56,0.0,18435.420000000002,105172.56,0.0,152829.6318,27344.8656,0.0,227022.627,5419862.370000001,69413.8896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18435.420000000002,105172.56,0.0,18435.420000000002,105172.56,0.0,152829.6318,27344.8656,0.0,227022.627,5419862.370000001,69413.8896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18435.420000000002,105172.56,0.0,18435.420000000002,105172.56,0.0,152829.6318,27344.8656,0.0,227022.627,5419862.370000001,69413.8896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18435.420000000002,105172.56,0.0,18435.420000000002,105172.56,0.0,152829.6318,27344.8656,0.0,227022.627,5419862.370000001,69413.8896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18435.420000000002,105172.56,0.0,18435.420000000002,105172.56,0.0,152829.6318,27344.8656,0.0,227022.627,5419862.370000001,69413.8896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18435.420000000002,105172.56,0.0,18435.420000000002,105172.56,0.0,152829.6318,27344.8656,0.0,227022.627,5419862.370000001,69413.8896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18435.420000000002,105172.56,0.0,18435.420000000002,105172.56,0.0,152829.6318,27344.8656,0.0,227022.627,5419862.370000001,69413.8896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18537.899999999998,105757.19999999998,0.0,18486.66,105464.87999999999,0.0,153679.19099999996,27496.871999999996,0.0,228284.61499999996,5449990.649999999,69799.752,0.0,0.0,0.0,0.0,51.23999999999796,292.31999999999243,0.0,0.0,0.0,0.0
18486.66,105464.87999999999,0.0,18486.66,105464.87999999999,0.0,153254.41139999998,27420.868799999997,0.0,227653.62099999998,5434926.51,69606.8208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18486.66,105464.87999999999,0.0,18486.66,105464.87999999999,0.0,153254.41139999998,27420.868799999997,0.0,227653.62099999998,5434926.51,69606.8208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18486.66,105464.87999999999,0.0,18486.66,105464.87999999999,0.0,153254.41139999998,27420.868799999997,0.0,227653.62099999998,5434926.51,69606.8208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18486.66,105464.87999999999,0.0,18486.66,105464.87999999999,0.0,153254.41139999998,27420.868799999997,0.0,227653.62099999998,5434926.51,69606.8208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18486.66,105464.87999999999,0.0,18486.66,105464.87999999999,0.0,153254.41139999998,27420.868799999997,0.0,227653.62099999998,5434926.51,69606.8208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18486.66,105464.87999999999,0.0,18486.66,105464.87999999999,0.0,153254.41139999998,27420.868799999997,0.0,227653.62099999998,5434926.51,69606.8208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18486.66,105464.87999999999,0.0,18486.66,105464.87999999999,0.0,153254.41139999998,27420.868799999997,0.0,227653.62099999998,5434926.51,69606.8208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18486.66,105464.87999999999,0.0,18486.66,105464.87999999999,0.0,153254.41139999998,27420.868799999997,0.0,227653.62099999998,5434926.51,69606.8208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
